Date,Club,Club Speed (MPH),Ball-Speed (MPH),Smash Factor,Total (yard)
30/06/2022,Sand Wedge,96.5604,61.15492,0.64,30.1752
30/06/2022,Sand Wedge,91.73238,77.24832,0.83,42.9768
30/06/2022,Sand Wedge,96.5604,72.4203,0.76,39.3192
30/06/2022,Sand Wedge,94.95106,75.63898,0.79,41.148
30/06/2022,Sand Wedge,86.90436,78.85766,0.9,44.8056
30/06/2022,Sand Wedge,88.5137,117.48182,1.34,78.6384
30/06/2022,6 Iron,107.82578,122.30984,1.13,100.584
30/06/2022,6 Iron,107.82578,131.96588,1.21,109.728
30/06/2022,6 Iron,102.99776,115.87248,1.11,95.0976
30/06/2022,6 Iron,99.77908,114.26314,1.14,93.2688
30/06/2022,6 Iron,107.82578,130.35654,1.21,108.8136
30/06/2022,Driver,119.09116,172.19938,1.43,162.7632
30/06/2022,Driver,99.77908,102.99776,1.03,80.4672
30/06/2022,Driver,112.6538,162.54334,1.42,150.876
30/06/2022,Driver,111.04446,148.05928,1.34,134.4168
30/06/2022,Driver,115.87248,160.934,1.39,149.9616
30/06/2022,Driver,115.87248,162.54334,1.4,150.876
30/06/2022,Driver,114.26314,160.934,1.41,149.0472
30/06/2022,Driver,125.52852,167.37136,1.34,158.1912
30/06/2022,Driver,115.87248,160.934,1.37,149.0472
30/06/2022,Driver,117.48182,172.19938,1.46,162.7632
30/06/2022,Driver,117.48182,167.37136,1.42,157.2768
30/06/2022,9 Iron,104.6071,117.48182,1.11,83.2104
30/06/2022,9 Iron,106.21644,114.26314,1.08,81.3816
30/06/2022,9 Iron,99.77908,102.99776,1.03,69.4944
30/06/2022,9 Iron,104.6071,109.43512,1.04,75.8952
30/06/2022,9 Iron,104.6071,115.87248,1.11,82.296
30/06/2022,9 Iron,96.5604,109.43512,1.14,74.9808
30/06/2022,9 Iron,102.99776,120.7005,1.15,85.0392
30/06/2022,9 Iron,104.6071,111.04446,1.06,76.8096
30/06/2022,9 Iron,99.77908,112.6538,1.13,78.6384
30/06/2022,9 Iron,102.99776,119.09116,1.15,84.1248
30/06/2022,9 Iron,102.99776,131.96588,1.27,95.0976
30/06/2022,9 Iron,96.5604,91.73238,0.95,59.436
30/06/2022,Pitching Wedge,75.63898,75.63898,1.0,44.8056
30/06/2022,Pitching Wedge,69.20162,75.63898,1.09,44.8056
30/06/2022,Pitching Wedge,65.98294,77.24832,1.16,45.72
30/06/2022,Pitching Wedge,69.20162,77.24832,1.11,46.6344
30/06/2022,Pitching Wedge,64.3736,77.24832,1.18,45.72
30/06/2022,Pitching Wedge,70.81096,83.68568,1.17,51.2064
30/06/2022,Pitching Wedge,69.20162,74.02964,1.07,42.9768
30/06/2022,Pitching Wedge,65.98294,72.4203,1.08,42.0624
30/06/2022,Pitching Wedge,78.85766,85.29502,1.09,53.9496
30/06/2022,Pitching Wedge,69.20162,78.85766,1.13,46.6344
30/06/2022,Pitching Wedge,62.76426,54.71756,0.86,26.5176
30/06/2022,Sand Wedge,61.15492,54.71756,0.91,23.7744
30/06/2022,Sand Wedge,65.98294,64.3736,0.97,31.0896
30/06/2022,Sand Wedge,62.76426,48.2802,0.75,17.3736
30/06/2022,Sand Wedge,64.3736,54.71756,0.97,31.0896
30/06/2022,Sand Wedge,54.71756,54.71756,0.78,23.7744
30/06/2022,Sand Wedge,72.4203,61.15492,0.83,29.2608
30/06/2022,Sand Wedge,54.71756,51.49888,0.93,21.0312
30/06/2022,Sand Wedge,70.81096,88.5137,1.25,53.0352
30/06/2022,Sand Wedge,67.59228,57.93624,0.85,26.5176
30/06/2022,Sand Wedge,57.93624,53.10822,0.91,21.9456
30/06/2022,Sand Wedge,72.4203,69.20162,0.95,35.6616
30/06/2022,Sand Wedge,75.63898,74.02964,0.96,40.2336
30/06/2022,Sand Wedge,48.2802,54.71756,1.14,23.7744
30/06/2022,5 Hybrid,112.6538,146.44994,1.29,128.9304
30/06/2022,5 Hybrid,114.26314,146.44994,1.28,129.8448
30/06/2022,5 Hybrid,112.6538,151.27796,1.35,133.5024
30/06/2022,5 Hybrid,117.48182,143.23126,1.23,127.1016
30/06/2022,5 Hybrid,119.09116,151.27796,1.26,132.588
30/06/2022,5 Hybrid,119.09116,143.23126,1.21,126.1872
30/06/2022,5 Hybrid,111.04446,154.49664,1.38,136.2456
30/06/2022,5 Hybrid,109.43512,148.05928,1.34,129.8448
30/06/2022,5 Hybrid,107.82578,149.66862,1.37,131.6736
30/06/2022,Driver,119.09116,172.19938,1.43,161.8488
30/06/2022,Driver,115.87248,164.15268,1.41,152.7048
30/06/2022,Driver,122.30984,170.59004,1.4,161.8488
30/06/2022,Driver,119.09116,167.37136,1.4,156.3624
30/06/2022,Driver,122.30984,167.37136,1.37,157.2768
30/06/2022,Driver,123.91918,165.76202,1.34,155.448
30/06/2022,Driver,119.09116,164.15268,1.38,152.7048
30/06/2022,Driver,140.01258,143.23126,1.02,128.016
30/06/2022,Driver,106.21644,154.49664,1.44,141.732
30/06/2022,Driver,85.29502,88.5137,1.05,63.0936
30/06/2022,6 Iron,112.6538,141.62192,1.26,119.7864
30/06/2022,6 Iron,109.43512,131.96588,1.21,110.6424
30/06/2022,6 Iron,107.82578,127.13786,1.16,105.156
30/06/2022,6 Iron,109.43512,127.13786,1.16,105.156
30/06/2022,6 Iron,123.91918,130.35654,1.04,107.8992
30/06/2022,6 Iron,107.82578,120.7005,1.1,99.6696
30/06/2022,6 Iron,109.43512,122.30984,1.11,100.584
30/06/2022,6 Iron,90.12304,94.95106,1.04,74.9808
30/06/2022,6 Iron,109.43512,135.18456,1.23,113.3856
30/06/2022,6 Iron,101.38842,114.26314,1.13,94.1832
30/06/2022,6 Iron,101.38842,123.91918,1.21,102.4128
30/06/2022,6 Iron,104.6071,123.91918,1.18,105.156
30/06/2022,6 Iron,107.82578,127.13786,1.19,108.8136
30/06/2022,6 Iron,115.87248,120.7005,1.03,100.584
10/09/2022,Driver,78.0,110.0,1.4,184.0
10/09/2022,Driver,71.0,110.0,1.53,184.0
10/09/2022,Driver,73.0,104.0,1.43,172.0
10/09/2022,Driver,75.0,106.0,1.41,176.0
10/09/2022,Driver,72.0,115.0,1.59,196.0
10/09/2022,Driver,70.0,108.0,1.54,179.0
10/09/2022,Driver,70.0,105.0,1.49,174.0
10/09/2022,Driver,76.0,111.0,1.46,186.0
10/09/2022,Driver,79.0,113.0,1.43,191.0
10/09/2022,Driver,77.0,105.0,1.36,175.0
10/09/2022,Driver,77.0,108.0,1.4,181.0
10/09/2022,Driver,70.0,105.0,1.5,173.0
10/09/2022,Driver,77.0,104.0,1.35,171.0
10/09/2022,Driver,75.0,108.0,1.44,181.0
10/09/2022,Driver,70.0,103.0,1.46,169.0
10/09/2022,Driver,73.0,105.0,1.43,174.0
10/09/2022,Driver,69.0,106.0,1.53,177.0
10/09/2022,Driver,76.0,111.0,1.46,187.0
10/09/2022,3 Wood,78.0,104.0,1.33,172.0
10/09/2022,3 Wood,70.0,103.0,1.47,169.0
10/09/2022,3 Wood,73.0,116.0,1.58,196.0
10/09/2022,3 Wood,75.0,99.0,1.31,161.0
10/09/2022,3 Wood,75.0,107.0,1.42,177.0
10/09/2022,5 Hybrid,63.0,81.0,1.28,124.0
10/09/2022,5 Hybrid,70.0,106.0,1.51,166.0
10/09/2022,5 Hybrid,67.0,83.0,1.23,127.0
10/09/2022,5 Hybrid,65.0,92.0,1.42,144.0
10/09/2022,5 Hybrid,64.0,84.0,1.3,129.0
10/09/2022,6 Iron,62.0,77.0,1.24,112.0
10/09/2022,6 Iron,64.0,92.0,1.44,137.0
10/09/2022,6 Iron,64.0,90.0,1.41,134.0
10/09/2022,6 Iron,64.0,84.0,1.31,123.0
10/09/2022,6 Iron,62.0,90.0,1.45,133.0
10/09/2022,7 Iron,62.0,79.0,1.26,108.0
10/09/2022,7 Iron,61.0,78.0,1.29,107.0
10/09/2022,7 Iron,62.0,88.0,1.41,123.0
10/09/2022,7 Iron,60.0,87.0,1.44,122.0
10/09/2022,7 Iron,61.0,78.0,1.28,107.0
10/09/2022,7 Iron,59.0,85.0,1.44,117.0
10/09/2022,8 Iron,60.0,75.0,1.25,100.0
10/09/2022,8 Iron,62.0,77.0,1.24,104.0
10/09/2022,8 Iron,66.0,86.0,1.3,118.0
10/09/2022,8 Iron,61.0,77.0,1.26,104.0
10/09/2022,8 Iron,65.0,79.0,1.21,106.0
10/09/2022,8 Iron,58.0,66.0,1.13,85.0
10/09/2022,8 Iron,61.0,75.0,1.23,100.0
10/09/2022,9 Iron,67.0,76.0,1.12,96.0
10/09/2022,9 Iron,58.0,72.0,1.24,90.0
10/09/2022,9 Iron,60.0,72.0,1.2,90.0
10/09/2022,9 Iron,59.0,66.0,1.11,80.0
10/09/2022,9 Iron,58.0,71.0,1.22,88.0
10/09/2022,Pitching Wedge,57.0,71.0,1.24,87.0
10/09/2022,Pitching Wedge,57.0,70.0,1.23,85.0
10/09/2022,Pitching Wedge,58.0,69.0,1.19,83.0
10/09/2022,Pitching Wedge,63.0,65.0,1.02,77.0
10/09/2022,Pitching Wedge,60.0,68.0,1.14,83.0
10/09/2022,Sand Wedge,52.0,60.0,1.15,65.0
10/09/2022,Sand Wedge,52.0,73.0,1.41,86.0
10/09/2022,Sand Wedge,53.0,55.0,1.04,59.0
10/09/2022,Sand Wedge,55.0,71.0,1.27,82.0
10/09/2022,Sand Wedge,59.0,44.0,0.75,41.0
10/09/2022,Sand Wedge,55.0,54.0,0.98,57.0
